clust_ID,X_position,Y_position,pca1,pca2
1,32691,22669,-58.57471511,14.39995029
2,32691,22669,-31.78069211,129.8954661
1,37055,20966,-70.75352145,19.32117646
2,37055,20966,-56.59775966,26.77302811
1,25922,25794,-61.53030772,6.528599519
2,25922,25794,-81.91187659,9.686746657
1,31201,35047,-80.02346935,-9.381274614
2,31201,35047,-99.23816651,-16.75006828
4,8458,23203,-49.20037621,-5.624010162
4,18784,32494,-73.74464406,-29.1687399
1,19664,29115,-76.21343947,-2.518862069
2,19664,29115,-91.45769333,-13.92646952
4,29907,39939,-44.95924862,2.205118891
1,29574,25037,-87.57255358,-4.847595429
2,29574,25037,-59.58699084,5.327733614
4,29188,23352,-41.90529479,5.257313228
5,9844.594727,28596.96289,57.43667734,-44.77618912
3,9844.594727,28596.96289,15.62348584,-40.87890527
5,19052.48633,23237.59766,70.28085527,-19.16184212
3,19052.48633,23237.59766,31.84832883,-17.61375269
5,27335.07813,25242.72656,75.082028,-7.271157138
3,27335.07813,25242.72656,34.60243269,-10.2151424
5,34575.63672,24803.63281,79.83841413,7.502853919
3,34575.63672,24803.63281,35.81119539,8.598119132
5,17098.41797,31728.69727,64.58574152,-24.21340408
3,17098.41797,31728.69727,112.3839308,164.2514174
5,17149.20898,22409.8418,69.28413362,-18.16463442
3,17149.20898,22409.8418,32.27555994,-16.45948784
6,12140.99316,29299.33203,56.56566633,-33.68862995
6,23596.11133,30551.99023,68.24627685,-15.17026809
6,15987.93555,35609.14844,64.22811109,-23.34839266
6,23087.06445,22845.96484,62.44547399,-14.02977581
6,29819.83594,10980.58984,77.95368847,5.477591785
6,10720.56934,32007.32617,56.55874928,-38.01651358
